Entity,Code,Year,Deaths - Sex: all - Age: all - Variant: estimates,Deaths - Sex: all - Age: all - Variant: medium,Births - Sex: all - Age: all - Variant: estimates,Births - Sex: all - Age: all - Variant: medium
Indonesia,IDN,2083,,3908139,,3157350
Indonesia,IDN,2084,,3911236,,3132136
Indonesia,IDN,2085,,3915801,,3109782
Indonesia,IDN,2086,,3921050,,3084979
Indonesia,IDN,2087,,3923604,,3062796
Indonesia,IDN,2088,,3928005.2,,3043109
Indonesia,IDN,2089,,3928578,,3023204
Indonesia,IDN,2090,,3935583,,3004223
Indonesia,IDN,2091,,3936662,,2985421
Indonesia,IDN,2092,,3940322,,2968682
Indonesia,IDN,2093,,3943967,,2951610
Indonesia,IDN,2094,,3941834,,2934817
Indonesia,IDN,2095,,3939252,,2918155
Indonesia,IDN,2096,,3935771,,2898668
Indonesia,IDN,2097,,3934240,,2881369
Indonesia,IDN,2098,,3928024,,2863912
Indonesia,IDN,2099,,3923676,,2846881
Indonesia,IDN,2100,,3914795,,2825757
